id,route,day,title,time,StoryMode
554,Ray Route,5,What's Wrong?,14:37,1
555,Ray Route,5,Is It True!?,16:13,0
556,Ray Route,5,"Seven, Finally?",17:45,1
557,Ray Route,5,Small Coincidence,19:23,1
558,Ray Route,5,Importance of Patience,21:13,0
559,Ray Route,5,Congratulated Workaholic,23:09,0
560,Ray Route,6,Swamp of Emptiness,00:55,1
561,Ray Route,6,If I was stronger,03:17,0
562,Ray Route,6,Busy on a fine day,07:40,1
563,Ray Route,6,Stabilization of Body &amp; Soul,10:23,0
564,Ray Route,6,Evaluation,13:10,1
565,Ray Route,6,Always New,14:50,1
566,Ray Route,6,Daffodil,16:37,0
567,Ray Route,6,Evil Within Me,18:52,0
568,Ray Route,6,Suddenly Afraid,20:49,1
569,Ray Route,6,Need Dark Energy!,21:21,1
570,Ray Route,6,At the top of the work pile,23:19,1
571,Ray Route,7,To become the child of darkness,00:58,1
572,Ray Route,7,At This Night,03:01,0
573,Ray Route,7,Mr. Han,06:17,1
574,Ray Route,7,Continuously Thinking,08:43,1
575,Ray Route,7,Cooperation,12:03,0
576,Ray Route,7,Art of Efficiency,14:44,0
577,Ray Route,7,Power Save Mode Today,16:27,0
578,Ray Route,7,The Roots of Pathetic,18:31,1
579,Ray Route,7,Window of Truth,20:06,1
580,Ray Route,7,My True Identity Is,21:43,0
581,Ray Route,7,Strange,23:59,1
582,Ray Route,8,Rapid Contact,01:37,1
583,Ray Route,8,What Should I Do With You?,03:46,1
584,Ray Route,8,In My Opinion,07:21,0
585,Ray Route,8,FINALLY!,09:03,1
586,Ray Route,8,I Really Want to Know!,11:16,1
587,Ray Route,8,Very Shocking,13:58,1
588,Ray Route,8,V's Decision,16:04,1
589,Ray Route,8,Sorry. This is all my fault.,18:31,0
590,Ray Route,8,Concerned,20:48,0
591,Ray Route,8,My Treasure,22:14,1
592,Ray Route,8,Survival of the Fittest,23:39,1
593,Ray Route,9,Don't you want to try this?,01:29,1
594,Ray Route,9,What have you done to me?,03:37,0
595,Ray Route,9,Self-inflicted,06:18,1
596,Ray Route,9,Now Alone,09:11,1
597,Ray Route,9,Don't Need You Anymore,12:16,1
598,Ray Route,9,How Does It Feel?,14:31,1
599,Ray Route,9,Get Right Into It!,16:56,1
600,Ray Route,9,It's not too late,17:39,1
601,Ray Route,9,Empty Shell,19:47,0
602,Ray Route,9,An Okay Suggestion,21:31,1
603,Ray Route,9,Are You Okay?,23:13,1
604,Ray Route,10,Want to Think Positively,01:46,0
605,Ray Route,10,Thought it was a joke,03:18,1
606,Ray Route,10,What happened last night,06:21,1
607,Ray Route,10,I'll Tell Everything,08:36,0
608,Ray Route,10,Best Present,11:49,1
609,Ray Route,10,Unexplainable Situation,13:56,0
610,Ray Route,10,Return of Jumin,16:13,1
611,Ray Route,10,Please Tell,18:37,1
612,Ray Route,10,Contact,20:22,1
613,Ray Route,10,Unfolding Clues,21:39,1
614,Ray Route,10,Only One Way,23:48,1
615,Ray Route,11,Stand-by,08:00,0
616,Ray Route,11,Normal Ending: The Party,12:00,0
